p,d,q,P,D,Q,s,AIC,RMSE
0,0,1,0,2,3,12,124.32257858884435,1.372097494181909
0,0,1,1,0,0,12,301.4157829074973,1.5738939120520052
0,0,1,1,0,1,12,312.9907953730346,1.562759589863083
0,0,1,1,0,2,12,4129.842625699088,118770198.77547655
0,0,1,1,0,3,12,218.78343998125584,1.6401937507675868
0,0,1,1,1,0,12,250.98543903230285,1.6166872034986548
0,0,1,1,1,1,12,247.5064484175021,1.6305622637349495
0,0,1,1,1,2,12,2620.718256995119,556.5173501174958
0,0,1,1,1,3,12,173.03478456516547,1.5609702406760724
0,0,1,1,2,0,12,248.50745122961925,1.8119356224542242
0,0,1,1,2,1,12,221.3920874244156,1.3625487083587586
0,0,1,1,2,2,12,175.2037419701239,1.337875240019311
0,0,1,1,2,3,12,122.50696814272113,1.4244254689146463
0,0,1,2,0,0,12,252.95792927516536,1.6382774820034345
0,0,1,2,0,1,12,254.8185835612866,1.649115817391071
0,0,1,2,0,2,12,4304.597102283846,4001668916.0484653
0,0,1,2,0,3,12,239.9208299946132,1.5435877551495698
0,0,1,2,1,0,12,219.69547948674182,1.6344313962005388
0,0,1,2,1,1,12,221.04441645903037,1.6293222661917537
0,0,1,2,1,2,12,2472.709485877509,1.5895637439545254
0,0,1,2,1,3,12,167.56166090434905,1.5390676882030756
0,0,1,2,2,0,12,186.82353352634047,1.4660911879682157
0,0,1,2,2,1,12,181.05829558530795,1.5422740179844059
0,0,1,2,2,2,12,175.02455226303144,1.4837566535198856
0,0,1,2,2,3,12,122.0085176067627,1.46550321665446
0,0,1,3,0,0,12,221.69393443829406,1.6285586036127375
0,0,1,3,0,1,12,224.81848197445868,1.751288709637338
0,0,1,3,0,2,12,3799.038857932031,6088731057.468059
0,0,1,3,0,3,12,243.40303999767357,1.6779696869751157
0,0,1,3,1,0,12,180.1194072290158,1.540005594150113
0,0,1,3,1,1,12,177.6657025392853,1.6290150035961417
0,0,1,3,1,2,12,177.5612373736608,1.5937037542204646
0,0,1,3,1,3,12,168.5361156177704,1.436953978534558
0,0,1,3,2,0,12,126.5902922249494,1.7481083925818137
0,0,1,3,2,1,12,127.24249327139637,1.7683883843953798
0,0,1,3,2,2,12,128.8459786083446,1.7148392424260224
0,0,1,3,2,3,12,120.50484929039051,1.6866138583104884
0,0,2,0,0,0,12,592.1459898104554,17.70766463229539
0,0,2,0,0,1,12,473.19638971792267,10.44876909428458
0,0,2,0,0,2,12,4473.712493878379,2463474677.8830094
0,0,2,0,0,3,12,316.4201911659437,4.7476300865052075
0,0,2,0,1,0,12,288.24140410636863,1.5508330423779308
0,0,2,0,1,1,12,244.40932749424942,1.6303788134525843
0,0,2,0,1,2,12,2323.4712815478315,499.85799614531714
0,0,2,0,1,3,12,169.10148743115207,1.5849710540415023
0,0,2,0,2,0,12,307.0945287366336,2.274146269087705
0,0,2,0,2,1,12,219.88088808069602,1.4520432905366216
0,0,2,0,2,2,12,163.9609835105275,1.405550319522868
0,0,2,0,2,3,12,123.35191290106071,1.3418700290865908
0,0,2,1,0,0,12,303.55334102005713,1.570146165644405
0,0,2,1,0,1,12,293.3687403175167,1.591019086524632
0,0,2,1,0,2,12,3858.6122538212526,3379824938931.484
0,0,2,1,0,3,12,218.68311101647842,1.730635256601335
0,0,2,1,1,0,12,252.69675902497477,1.6155584615361116
0,0,2,1,1,1,12,246.37079082860998,1.6348356484329876
0,0,2,1,1,2,12,2329.8454629352063,556.5130143772302
0,0,2,1,1,3,12,171.08643780530463,1.5959334884285574
0,0,2,1,2,0,12,250.19898173360104,1.8081890253522495
0,0,2,1,2,1,12,219.37006065773477,1.3518080453960788
0,0,2,1,2,2,12,170.62950682089914,1.333221023253858
0,0,2,1,2,3,12,120.29757697919337,1.4182519646895078
0,0,2,2,0,0,12,255.8272349621206,1.6446736886203945
0,0,2,2,0,1,12,261.5475376823681,1.717922025138164
0,0,2,2,0,2,12,3634.5410138662487,170549591824368.88
0,0,2,2,0,3,12,220.23672942216012,1.6866099724503174
0,0,2,2,1,0,12,221.2362230207229,1.6387595773551467
0,0,2,2,1,1,12,222.56139618288373,1.6299302780823024
0,0,2,2,1,2,12,2182.6786204385558,1.5894244201496428
0,0,2,2,1,3,12,166.39585742722466,1.5480877921719245
0,0,2,2,2,0,12,188.81506693941546,1.4634583006288675
0,0,2,2,2,1,12,183.0567517327222,1.5401677415018507
0,0,2,2,2,2,12,172.62891385071393,1.3258819081100832
0,0,2,2,2,3,12,121.34489649347596,1.4629295943023248
0,0,2,3,0,0,12,223.23526030041,1.633931611175692
0,0,2,3,0,1,12,224.55865748850312,1.6223456663072127
0,0,2,3,0,2,12,3319.7540362255345,518712020412.25385
0,0,2,3,0,3,12,218.06159305762998,1.480924149206101
0,0,2,3,1,0,12,182.11926946194367,1.5400782037326022
0,0,2,3,1,1,12,179.66370642802772,1.6308437691903948
0,0,2,3,1,2,12,179.46829709199102,1.597853172750492
0,0,2,3,1,3,12,166.7804214961464,1.4387741957913072
0,0,2,3,2,0,12,128.57294990363766,1.7632003403161107
0,0,2,3,2,1,12,129.1965865300251,1.7432825709282735
0,0,2,3,2,2,12,130.834633588165,1.699229774796074
0,0,2,3,2,3,12,120.10816311615032,1.739713785934345
0,0,3,0,0,0,12,541.9472717085317,17.62474967751608
0,0,3,0,0,1,12,426.4801608193378,9.171830038816992
0,0,3,0,0,2,12,3044.983258163844,31210426783985.47
0,0,3,0,0,3,12,281.3287740838171,4.756204113448755
0,0,3,0,1,0,12,285.7975603441451,1.533727420935124
0,0,3,0,1,1,12,240.93607162412152,1.6344150488316216
0,0,3,0,1,2,12,2523.3986264231994,498.2370038126523
0,0,3,0,1,3,12,164.67158929786171,1.643363130450453
0,0,3,0,2,0,12,305.4070576726695,2.284450139772542
0,0,3,0,2,1,12,218.49929524239758,1.4528421852958022
0,0,3,0,2,2,12,163.01099111773615,1.3786893313524669
0,0,3,0,2,3,12,122.19658013473936,1.333492540589444
0,0,3,1,0,0,12,305.7136782432457,1.5660202155486909
0,0,3,1,0,1,12,302.6239930755732,1.657886636169996
0,0,3,1,0,2,12,2645.375361750364,515405735.23477733
0,0,3,1,0,3,12,217.51005020372295,1.6742659336334105
0,0,3,1,1,0,12,252.6670932934326,1.5886450764666342
0,0,3,1,1,1,12,243.12273308520594,1.6265441398049703
0,0,3,1,1,2,12,2528.7694279957695,555.9707303891438
0,0,3,1,1,3,12,165.23071312849106,1.661656648126037
0,0,3,1,2,0,12,252.04865781437698,1.8103650085226801
0,0,3,1,2,1,12,217.69218769963638,1.341977274923399
0,0,3,1,2,2,12,169.30551442841514,1.3585807562082188
0,0,3,1,2,3,12,119.06707934032633,1.408835918293471
0,0,3,2,0,0,12,254.62846792779595,1.6180947451348873
0,0,3,2,0,1,12,261.1015805971987,1.7116706735143734
0,0,3,2,0,2,12,2865.2920834349766,12551589375652.184
0,0,3,2,0,3,12,219.04574079018906,1.5376040263407535
0,0,3,2,1,0,12,219.61487933409308,1.6720819927750468
0,0,3,2,1,1,12,219.75708286901462,1.6736711630853212
0,0,3,2,1,2,12,2386.1163694513234,1.5673539511731838
0,0,3,2,1,3,12,163.25541962881283,1.4800212911205246
0,0,3,2,2,0,12,186.82249426842014,1.5084425911416819
0,0,3,2,2,1,12,183.01996944807252,1.5759869061165224
0,0,3,2,2,2,12,171.84099738766074,1.3357424207732225
0,0,3,2,2,3,12,121.34966721519729,1.4014967503562539
